,Hospital Name,Nearby Cell Towers
1749,H. Lee Moffitt Cancer Center and Research Institute,0,0,1
1750,HCA Florida West Tampa Hospital,0,0,6
1751,Shriners Hospitals for Children-Tampa,0,0,2
1752,AdventHealth Tampa,0,0,0
1753,AdventHealth North Pinellas,0,0,0
1754,James A. Haley Veterans' Hospital-Tampa,0,0,2
1755,Parrish Medical Center,0,0,0
1756,U. S. Air Force Regional Hospital,0,0,0
1757,Cleveland Clinic Indian River Hospital,0,0,0
1758,AdventHealth Wauchula,0,0,2
1759,Encompass Health Rehabilitation Hospital of Treasure Coast,0,0,2
1760,Good Samaritan Medical Center,0,0,9
1761,Sunview Medical Center,0,0,9
1762,St. Mary's Medical Center,0,0,8
1763,Orlando Health - Health Central Hospital,0,0,4
1764,Wellington Regional Medical Center,0,0,30
1765,HCA Florida Englewood Hospital,0,0,0
1766,Jupiter Medical Center,0,1,25
1767,Coral Gables Hospital,0,0,7
1768,Palmetto General Hospital,0,0,8
1769,HCA Florida South Shore Hospital,0,0,0
1770,HCA Florida Trinity Hospital,0,0,1
1771,Kindred Hospital South Florida-Fort Lauderdale,0,0,0
1772,PAM Health Specialty Hospital of Jacksonville,0,0,12
1773,Jay Hospital,0,0,0
1774,Westchester General Hospital,0,0,5
1775,AdventHealth Carrollwood,0,0,0
1776,Kindred Hospital Bay Area-Tampa,0,0,1
1777,Kindred Hospital Melbourne,0,2,10
1778,Select Specialty Hospital-The Villages,0,0,0
1779,LifeStream Behavioral Center,0,0,0
1780,Park Royal Hospital,0,0,37
1781,Encompass Health Rehabilitation Hospital of Ocala,0,0,4
1782,"Encompass Health Rehabilitation Hospital, an affiliate of Martin Health",0,0,0
1783,Select Specialty Hospital Daytona Beach,0,1,12
1784,Select Specialty Hospital-Fort Myers,0,0,13
1785,North Tampa Behavioral Health,0,1,1
1786,Orlando VA Medical Center,0,0,0
1787,Palm Point Behavioral Health,0,0,1
1788,The Blackberry Center,0,0,2
1789,Encompass Health Rehabilitation Hospital of Clermont,0,0,0
1790,Encompass Health Rehabilitation Hospital of Jacksonville,0,0,0
1791,Rehabilitation Hospital of Naples,0,0,0
1792,Encompass Health Rehabilitation Hospital of St. Augustine,0,0,0
1793,Arrowhead Behavioral Health Hospital,0,0,6
1794,Belmont Pines Hospital,0,0,3
1795,The OSUCCC - James,0,0,35
1796,Cleveland Clinic Akron General,0,0,0
1797,Summa Health System – Akron Campus,0,0,0
1798,Mercy Health - Lorain Hospital,0,0,0
1799,Firelands Regional Health System,0,0,0
1800,OhioHealth Mansfield Hospital,0,0,4
1801,Blanchard Valley Hospital,0,0,1
1802,Cleveland Clinic South Pointe Hospital,0,0,0
1803,Trinity Health System,0,0,0
1804,Genesis HealthCare System,0,0,8
1805,Appalachian Behavioral Healthcare,0,0,0
1806,Upper Valley Medical Center,0,0,12
1807,Northcoast Behavioral Healthcare,0,0,0
1808,ProMedica Bay Park Hospital,0,0,2
1809,Institute for Orthopaedic Surgery,0,0,2
1810,Specialty Hospital of Lorain,0,0,0
1811,PAM Specialty Hospital of Dayton,0,0,0
1812,Holzer Medical Center - Jackson,0,0,0
1813,Mount Carmel New Albany Surgical Hospital,0,0,2
1814,Select Specialty Hospital-Cincinnati,0,0,7
1815,Mercy Health - Defiance Hospital,0,0,0
1816,Aultman Specialty Hospital,0,0,4
1817,Community Hospitals and Wellness Centers-Montpelier,0,0,0
1818,Kindred Hospital-Dayton,0,0,8
1819,Akron Children's Hospital,0,0,0
1820,Kindred Hospital Lima,0,0,0
1821,Select Specialty Hospital-Columbus,0,0,13
1822,Select Specialty Hospital-Youngstown,0,0,0
1823,Select Specialty Hospital of Southeast Ohio,0,0,0
1824,Select Specialty Hospital-Akron,0,0,0
1825,Ohio Hospital for Psychiatry,0,0,6
1826,Mercy Health - St. Elizabeth Boardman Hospital,0,0,0
1827,Lindner Center of HOPE,0,0,5
1828,Select Specialty Hospital-Canton,0,0,1
1829,Aultman Alliance Community Hospital,0,0,0
1830,OhioHealth Dublin Methodist Hospital,0,1,4
1831,University Hospitals Samaritan Medical Center,0,0,0
1832,Ashtabula County Medical Center,0,0,0
1833,Regency North Central Ohio - Cleveland East,0,0,11
1834,OhioHealth O'Bleness Hospital,0,0,0
1835,Mercy Health - Clermont Hospital,0,0,1
1836,WVU Medicine - Barnesville Hospital,0,0,0
1837,Mary Rutan Hospital,0,0,0
1838,"Bellevue Hospital, The",0,0,0
1839,Regency Hospital of Toledo,0,0,1
1840,Regency Hospital of Columbus,0,0,0
1841,University Hospitals Ahuja Medical Center,0,0,6
1842,Southwest General Health Center,0,0,9
1843,Northeast Ohio VA Healthcare System,0,0,3
1844,Three Gables Surgery Center,0,0,1
1845,Advanced Specialty Hospital of Toledo,0,0,0
1846,Bluffton Hospital,0,0,0
1847,Wood County Hospital,0,0,0
1848,Community Hospitals and Wellness Centers,0,0,0
1849,Bucyrus Community Hospital,0,0,0
1850,WVU Medicine - Harrison Community Hospital,0,0,0
1851,OhioHealth Southeastern Medical Center,0,0,0
1852,Aultman Hospital,0,0,4
1853,Select Specialty Hospital - Cleveland Fairhill,0,0,0
1854,Cleveland Clinic Mercy Hospital,0,0,1
1855,The Rehabilitation Institute of Ohio,0,0,9
1856,Ohio Valley Surgical Hospital,0,0,0
1857,Northwest Ohio Psychiatric Hospital,0,0,0
1858,Surgical Hospital at Southwoods,0,0,0
1859,Diley Ridge Medical Center,0,0,1
1860,Life Line Hospital,0,0,0
1861,University Hospitals Geauga Medical Center,0,0,0
1862,Adena Regional Medical Center,0,0,7
1863,Chillicothe Veterans Affairs Medical Center,0,0,0
1864,Bethesda North Hospital,0,0,0
1865,Cincinnati Children's Hospital Medical Center,0,0,7
1866,The Christ Hospital Health Network,0,1,18
1867,University of Cincinnati Medical Center,0,0,13
1868,Daniel Drake Center for Post Acute Care,0,0,3
1869,Good Samaritan Hospital,0,0,7
1870,Soin Medical Center,0,0,0
1871,Encompass Health Rehabilitation Hospital at Cincinnati,0,0,3
1872,The Woods at Parkside,0,0,3
1873,Mental Health Services for Clark and Madison Counties,0,0,0
1874,Mercy Health - West Hospital,0,0,12
1875,Access Hospital Dayton,0,0,0
1876,Summa Rehab Hospital,0,0,0
1877,Haven Behavioral Hospital of Dayton,0,0,9
1878,Columbus Springs Dublin,0,0,6
1879,Ridgeview Behavioral Hospital,0,0,0
1880,Beckett Springs,0,0,0
1881,OhioHealth Rehabilitation Hospital,0,0,13
1882,West Chester Hospital,0,0,6
1883,Mount Carmel Rehabilitation Hospital,0,1,0
1884,Kettering Health Troy,0,0,19
1885,Sojourn at Seneca Senior Behavioral Health,0,0,0
1886,University Hospitals Beachwood Medical Center,0,0,2
1887,Select Specialty Hospital - Boardman,0,0,11
1888,Encompass Health Rehabilitation Hospital of Toledo,0,0,0
1889,Summit Behavioral Healthcare,0,0,9
1890,Blueridge Vista Behavioral Health,0,0,11
1891,King's Daughters Medical Center Ohio,0,0,0
1892,Cleveland Clinic Rehabilitation Hospital,0,0,0
1893,UH Avon Rehabilitation Hospital,0,0,1
1894,UH Rehabilitation Hospital,0,0,0
1895,Cleveland Clinic Avon Hospital,0,0,0
1896,TriHealth Rehabilitation Hospital,0,3,27
1897,Rehabilitation Hospital of Northwest Ohio,0,0,0
1898,Highland Springs Hospital,0,0,0
1899,ClearVista Health and Wellness,0,0,0
1900,Avita Ontario Hospital,0,0,0
1901,Mercy Health - Anderson Hospital,0,0,2
1902,SUN Behavioral Columbus,0,0,8
1903,Nationwide Children's Hospital - Toledo,0,0,0
1904,Shriners Children's Ohio,0,0,22
1905,Cincinnati Veterans Affairs Medical Center,0,0,7
1906,OhioHealth Berger Hospital,0,0,0
1907,Riverview Health Institute,0,0,0
1908,Cleveland Clinic Children's Hospital for Rehabilitation,0,0,0
1909,MetroHealth Medical Center,0,0,34
1910,Cleveland Clinic,0,0,34
1911,Cleveland Clinic Euclid Hospital,0,0,0
1912,Cleveland Clinic Fairview Hospital,0,0,0
1913,Grace Hospital,0,3,48
1914,Cleveland Clinic Lutheran Hospital,0,0,19
1915,University Hospitals Parma Medical Center,0,0,0
1916,Mercy Health - Fairfield Hospital,0,0,4
1917,University Hospitals Cleveland Medical Center,0,0,47
1918,University Hospitals Rainbow Babies and Children's,0,0,45
1919,Cleveland Clinic Hillcrest Hospital,0,0,5
1920,Mercer Health,0,0,0
1921,Nationwide Children's Hospital,0,0,14
1922,OhioHealth Doctors Hospital,0,0,1
1923,Twin Valley Behavioral Healthcare,0,0,4
1924,OhioHealth Grant Medical Center,0,0,25
1925,Mount Carmel St. Ann's,0,0,1
1926,Ohio State University Wexner Medical Center,0,0,34
1927,OhioHealth Riverside Methodist Hospital,0,0,34
1928,University Hospitals Conneaut Medical Center,0,0,0
1929,Coshocton Regional Medical Center,0,0,0
1930,Dayton Children's Hospital,0,0,0
1931,Kettering Health Miamisburg,0,0,0
1932,Kettering Health Dayton,0,0,5
1933,Miami Valley Hospital,0,0,0
1934,Wright Patterson Medical Center,0,0,0
1935,Dayton Veterans Affairs Medical Center,0,0,1
1936,ProMedica Defiance Regional Hospital,0,0,0
1937,OhioHealth Grady Memorial Hospital,0,0,1
1938,Trinity Hospital Twin City,0,0,0
1939,Cleveland Clinic Union Hospital,0,0,0
1940,East Liverpool City Hospital,0,0,0
1941,University Hospitals Elyria Medical Center,0,0,0
1942,ProMedica Fostoria Community Hospital,0,0,0
1943,ProMedica Memorial Hospital,0,0,0
1944,Galion Community Hospital,0,0,0
1945,Holzer Medical Center,0,0,2
1946,Cleveland Clinic Marymount Hospital,0,0,23
1947,University Hospitals Geneva Medical Center,0,0,0
1948,Adena Greenfield Medical Center,0,0,0
1949,Wayne HealthCare,0,0,0
1950,Kettering Health Hamilton,0,0,0
1951,Community Memorial Hospital,0,0,0
1952,Highland District Hospital,0,0,0
1953,Kettering Health Main Campus,0,0,0
1954,OhioHealth Hardin Memorial Hospital,0,0,2
1955,Fairfield Medical Center,0,0,0
1956,Lima Memorial Health System,0,0,1
1957,Mercy Health - St. Rita's Medical Center,0,0,0
1958,Cleveland Clinic Akron General Lodi Hospital,0,0,0
1959,Hocking Valley Community Hospital,0,0,0
1960,Madison Health,0,0,1
1961,Marietta Memorial Hospital,0,0,0
1962,OhioHealth Marion General Hospital,0,0,0
1963,Memorial Health,0,0,0
1964,Heartland Behavioral Healthcare,0,0,0
1965,Cleveland Clinic Medina Hospital,0,0,0
1966,Atrium Medical Center,0,0,0
1967,Pomerene Hospital,0,0,0
1968,Morrow County Hospital,0,0,0
1969,Knox Community Hospital,0,0,1
1970,Henry County Hospital,0,0,1
1971,Licking Memorial Hospital,0,0,1
1972,Fisher-Titus Medical Center,0,0,0
1973,Mercy Health - Allen Hospital,0,0,0
1974,Aultman Orrville Hospital,0,0,0
1975,McCullough-Hyde Memorial Hospital/TriHealth,0,0,0
1976,University Hospitals Lake Health,0,0,2
1977,Paulding County Hospital,0,0,0
1978,Magruder Memorial Hospital,0,0,0
1979,Southern Ohio Medical Center,0,0,0
1980,University Hospitals Portage Medical Center,0,0,13
1981,Glenbeigh Hospital and Outpatient Centers,0,0,0
1982,Grand Lake Health System,0,0,0
1983,Salem Regional Medical Center,0,0,0
1984,OhioHealth Shelby Hospital,0,0,0
1985,Wilson Memorial Hospital,0,0,5
1986,Mercy Health - Springfield Regional Medical Center,0,0,0
1987,Mercy Health - Tiffin Hospital,0,0,0
1988,The University of Toledo Medical Center,0,0,0
1989,Mercy Health - St. Vincent Medical Center,0,0,0
1990,ProMedica Toledo Hospital,0,0,1
1991,Wyandot Memorial Hospital,0,0,1
1992,Mercy Health - Urbana Hospital,0,0,0
1993,OhioHealth Van Wert Hospital,0,0,1
1994,Mercy Health - St. Joseph Warren Hospital,0,0,0
1995,Hillside Rehabilitation Hospital,0,0,0
1996,Trumbull Regional Medical Center,0,0,0
1997,Adena Fayette Medical Center,0,0,0
1998,Fulton County Health Center,0,0,0
1999,Adena Pike Medical Center,0,0,0
2000,Adams County Regional Medical Center,0,0,3
2001,Windsor-Laurelwood Center for Behavioral Medicine,0,0,43
2002,Mercy Health - Willard Hospital,0,0,0
2003,CMH Regional Health System,0,0,0
2004,Wooster Community Hospital,0,0,2
2005,Kettering Health Greene Memorial,0,0,0
2006,Mercy Health - St. Elizabeth Youngstown Hospital,0,0,0
2007,Mount Carmel East Hospital,0,0,3
2008,University Hospitals St. John Medical Center,0,0,0
2009,The Jewish Hospital - Mercy Health,0,0,18
2010,Western Reserve Hospital,0,0,0
2011,Selby General Hospital,0,0,0
2012,Rehabilitation Hospital of Indiana,0,0,6
2013,Franciscan Health Hammond,0,0,0
2014,Community Hospital Anderson,0,0,0
2015,Kindred Hospital-Indianapolis,0,0,2
2016,Rehabilitation Hospital of Fort Wayne,0,0,0
2017,Southern Indiana Rehabilitation Hospital,0,0,1
2018,Michiana Behavioral Health Center,0,0,1
2019,Indiana University Health University Hospital,0,0,21
2020,Veterans Affairs Northern Indiana Health Care System,0,0,0
2021,Community Hospital North,0,0,5
2022,Franciscan Health Michigan City,0,0,6
2023,Ascension St. Vincent Evansville,0,0,0
2024,Franciscan Health Indianapolis,0,0,14
2025,Franciscan Healthcare Munster,0,0,0
2026,Bluffton Regional Medical Center,0,0,0
2027,The Women's Hospital,0,0,0
2028,Dupont Hospital,0,0,4
2029,Ascension St. Vincent Heart Center,0,0,3
2030,Regency Hospital of Northwest Indiana,0,0,3
2031,Bloomington Meadows Hospital,0,0,2
2032,Parkview Ortho Hospital,0,0,1
2033,Wellstone Regional Hospital,0,0,0
2034,Indiana University Health West Hospital,0,0,3
2035,Ascension St. Vincent Anderson,0,0,0
2036,Kindred Hospital Indianapolis North,0,0,20
2037,Select Specialty Hospital-Evansville,0,0,1
2038,Cameron Memorial Community Hospital,0,0,0
2039,OrthoIndy Hospital,0,0,0
2040,Indiana University Health North Hospital,0,0,2
2041,Central Indiana AMG Specialty Hospital,0,0,9
2042,Monroe Hospital,0,0,1
2043,Otis R. Bowen Center for Human Services,0,0,0
2044,Pinnacle Hospital,0,0,18
2045,Medical Behavioral Hospital of Mishawaka,0,0,0
2046,Ascension St. Vincent Seton Specialty Hospital,0,0,0
2047,Indiana University Health Arnett Hospital,0,0,15
2048,Parkview DeKalb Hospital,0,0,0
2049,Margaret Mary Health,0,0,6
2050,Indiana University Health Bloomington Hospital,0,0,6
2051,Ascension St. Vincent Warrick,0,0,0
2052,Ascension St. Vincent Clay Hospital,0,0,0
2053,Community Hospital of Bremen,0,0,0
2054,Ascension St. Vincent Carmel Hospital,0,0,4
2055,Regional Mental Health Center,0,0,1
2056,Union Hospital Clinton,0,0,1
2057,Orthopaedic Hospital of Lutheran Health Network,0,0,0
2058,Parkview Whitley Hospital,0,0,0
2059,Physicians' Medical Center,0,0,0
2060,Columbus Regional Hospital,0,0,6
2061,Harrison County Hospital,0,0,3
2062,Franciscan Health Crawfordsville,0,0,0
2063,Franciscan Health Crown Point,0,0,0
2064,Hendricks Regional Health,0,0,0
2065,Adams Memorial Hospital,0,0,0
2066,Franciscan Health Dyer,0,0,3
2067,St. Catherine Hospital,0,0,3
2068,Elkhart General Hospital,0,0,8
2069,Ascension St. Vincent Mercy,0,0,0
2070,Unity Physicians Hospital,0,0,0
2071,AMG Specialty Hospital Northwest Indiana,0,1,13
2072,Community Mental Health Center,0,0,1
2073,Radiant Health,0,0,7
2074,Harsha Behavioral Center,0,0,0
2075,Deaconess Midtown Hospital,0,0,0
2076,Evansville State Hospital,0,0,0
2077,Encompass Health Deaconess Rehabilitation Hospital,0,0,0
2078,Lutheran Hospital of Indiana,0,0,0
2079,Franciscan Health Lafayette East,0,0,3
2080,Lutheran Downtown Hospital,0,0,3
2081,Indiana University Health Frankfort,0,0,0
2082,Johnson Memorial Hospital,0,0,0
2083,Franciscan Health Carmel,0,0,2
2084,4C Health,0,0,0
2085,Meridian Health Services,0,0,11
2086,Ascension St. Vincent Fishers,0,0,2
2087,Lafayette Regional Rehabilitation Hospital,0,0,1
2088,Options Behavioral Health System,0,0,19
2089,NeuroDiagnostic Institute and Advanced Treatment Center,0,0,3
2090,NeuroBehavioral Hospital of NW Indiana/Greater Chicago,0,0,6
2091,Methodist Hospitals,0,0,2
2092,Goshen Health,0,0,0
2093,Oaklawn Psychiatric Center,0,0,0
2094,NeuroPsychiatric Hospital of Indianapolis,0,0,8
2095,Putnam County Hospital,0,0,0
2096,Hancock Regional Hospital,0,0,0
2097,Decatur County Memorial Hospital,0,0,9
2098,Community Rehabilitation Hospital South,0,0,15
2099,Indianapolis Rehabilitation Hospital,0,0,0
2100,Community Rehabilitation Hospital North,0,0,0
2101,Valle Vista Health System,0,0,0
2102,St. Mary Medical Center,0,0,0
2103,Parkview Huntington Hospital,0,0,0
2104,Community Hospital East,0,0,5
2105,Community Fairbanks Recovery Center,0,0,4
2106,Eskenazi Health,0,0,12
2107,Ascension St. Vincent Indianapolis Hospital,0,0,0
2108,Community Hospital South,0,0,2
2109,Richard L. Roudebush Veterans Affairs Medical Center,0,0,8
2110,Memorial Hospital and Health Care Center,0,0,0
2111,Norton Clark Hospital,0,0,10
2112,Parkview Noble Hospital,0,0,0
2113,Northwest Health - Starke,0,0,0
2114,Community Howard Regional Health,0,0,0
2115,Ascension St. Vincent Kokomo,0,0,0
2116,River Bend Hospital,0,0,0
2117,Parkview LaGrange Hospital,0,0,0
2118,Northwest Health - La Porte,0,0,9
2119,St. Elizabeth Dearborn,0,0,1
2120,Witham Health Services,0,0,0
2121,Greene County General Hospital,0,0,0
2122,Logansport State Hospital,0,0,0
2123,Logansport Memorial Hospital,0,0,0
2124,King's Daughters' Health,0,0,0
2125,Marion Health,0,0,6
2126,Indiana University Health White Memorial Hospital,0,0,0
2127,Franciscan Health Mooresville,0,0,2
2128,Indiana University Health Ball Memorial Hospital,0,0,9
2129,Baptist Health Floyd,0,0,7
2130,Community Hospital,0,0,0
2131,Henry Community Health,0,0,2
2132,Riverview Health,0,0,0
2133,Madison State Hospital,0,0,0
2134,Ascension St. Vincent Jennings,0,0,0
2135,Indiana University Health Paoli Hospital,0,0,0
2136,Dukes Memorial Hospital,0,0,0
2137,Plymouth Medical Center,0,0,0
2138,Indiana University Health Jay Hospital,0,0,2
2139,Deaconess Gibson Hospital,0,0,3
2140,Franciscan Health Rensselear,0,0,0
2141,Reid Health,0,0,6
2142,Richmond State Hospital,0,0,0
2143,Woodlawn Hospital,0,0,0
2144,Rush Memorial Hospital,0,0,1
2145,Ascension St. Vincent Salem,0,0,5
2146,Norton Scott Hospital,0,0,4
2147,Schneck Medical Center,0,0,0
2148,Major Hospital,0,0,0
2149,Memorial Hospital of South Bend,0,0,10
2150,Saint Joseph Health System,0,0,0
2151,Sullivan County Community Hospital,0,0,0
2152,Perry County Memorial Hospital,0,0,0
2153,Hamilton Center,0,0,9
2154,Terre Haute Regional Hospital,0,0,1
2155,Union Hospital,0,1,8
2156,Indiana University Health Tipton Hospital,0,0,0
2157,Northwest Health - Porter,0,0,2
2158,Good Samaritan Hospital,0,0,1
2159,Parkview Wabash Hospital,0,0,0
2160,Lutheran Kosciusko Hospital,0,0,0
2161,Daviess Community Hospital,0,0,0
2162,Ascension St. Vincent Williamsport,0,0,3
2163,Pulaski Memorial Hospital,0,0,0
2164,Ascension St. Vincent Randolph,0,0,0
2165,Indiana University Health Bedford Hospital,0,0,4
2166,Evansville Psychiatric Children Center,0,0,3
2167,Sycamore Springs,0,0,1
2168,Parkview Regional Medical Center,0,0,1
2169,NorthEastern Center,0,0,0
2170,Porter-Starke Services,0,0,0
2171,Brentwood Springs,0,0,0
2172,Doctors NeuroPsychiatric Hospital,0,0,0
2173,Indiana Spine Hospital,0,0,2
2174,Bloomington Regional Rehabilitation Hospital,0,0,0
2175,Rehabilitation Hospital of Northern Indiana,0,0,0
2176,OSF Heart of Mary Medical Center,0,0,20
2177,Genesis Medical Center-Aledo,0,0,0
2178,Ascension Alexian Brothers Behavioral Health Hospital,0,0,2
2179,Alton Memorial Hospital,0,0,5
2180,Streamwood Behavioral Healthcare System,0,0,7
2181,Endeavor Health Linden Oaks Hospital,0,0,2
2182,UnityPoint Health - Trinity Rock Island,0,0,3
2183,Blessing Hospital,0,0,0
2184,Northwestern Medicine Central DuPage Hospital,0,0,0
2185,Alton Mental Health Center,0,0,0
2186,Endeavor Health Evanston Hospital,0,0,10
2187,Jesse Brown VA Medical Center,0,0,30
2188,Advocate Illinois Masonic Medical Center,0,0,68
2189,Van Matre Encompass Health Rehabilitation Hospital,0,0,2
2190,Franciscan Health Olympia Fields,0,0,0
2191,Kindred Chicago Lakeshore,0,0,0
2192,OSF HealthCare Saint Anthony's Health Center,0,0,0
2193,Chicago Behavioral Hospital,0,0,11
2194,UChicago Medicine AdventHealth Bolingbrook,0,0,4
2195,Lincoln Prairie Behavioral Health Center,0,0,3
2196,Choate Mental Health Center,0,0,1
2197,Union County Hospital,0,0,2
2198,Rush-Copley Medical Center,0,0,0
2199,Ascension Mercy,0,0,2
2200,OSF Transitional Care Hospital,0,0,5
2201,Advocate Good Shepherd Hospital,0,0,0
2202,Memorial Hospital Belleville,0,0,0
2203,HSHS St. Elizabeth's Hospital,0,0,10
2204,Franklin Hospital District,0,0,1
2205,MacNeal Hospital,0,0,4
2206,Carle BroMenn Medical Center,0,0,15
2207,OSF St. Joseph Medical Center,0,0,4
2208,HSHS St. Joseph's Hospital,0,0,0
2209,Graham Hospital,0,0,0
2210,Memorial Hospital of Carbondale,0,0,3
2211,Carlinville Area Hospital,0,0,1
2212,Thomas H. Boyd Memorial Hospital,0,0,0
